attempt_id,quiz_id,student_id,attempt_date,score,time_spent_seconds,passed
AT50032,QZ1023,QF1108,2024-06-24,60.33,127,True
AT50033,QZ1023,QF1314,2024-08-11,76.45,200,True
AT50034,QZ1024,QF1936,2024-07-02,65.56,444,True
AT50035,QZ1024,QF1647,2024-07-02,83.58,495,True
AT50036,QZ1024,QF1687,2024-08-30,91.13,558,True
AT50037,QZ1026,QF1775,2024-07-15,64.43,296,True
AT50038,QZ1027,QF1893,2024-08-25,70.46,130,True
AT50039,QZ1028,QF1254,2024-06-25,80.85,196,True
AT50040,QZ1029,QF1575,2024-08-16,63.4,163,True
AT50041,QZ1029,QF1792,2024-08-15,72.28,87,True
AT50042,QZ1029,QF1235,2024-08-03,67.38,165,True
AT50043,QZ1029,QF1479,2024-08-02,57.04,169,True
AT50044,QZ1030,QF1846,2024-08-06,79.65,343,True
AT50045,QZ1030,QF1094,2024-07-15,69.06,289,True
AT50046,QZ1030,QF1354,2024-08-13,74.97,334,True
AT50047,QZ1030,QF1711,2024-08-03,72.83,296,True
AT50048,QZ1030,QF1070,2024-08-27,100.0,373,True
AT50049,QZ1031,QF1402,2024-05-19,84.45,313,True
AT50050,QZ1031,QF1625,2024-06-02,73.33,314,True
AT50051,QZ1031,QF1020,2024-04-26,78.42,242,True
AT50052,QZ1031,QF1351,2024-04-17,84.26,316,True
AT50053,QZ1031,QF1120,2024-08-24,54.93,260,True
AT50054,QZ1031,QF1772,2024-06-16,82.07,318,True
AT50055,QZ1031,QF1449,2024-05-02,72.39,305,True
AT50056,QZ1031,QF1376,2024-08-12,84.16,295,True
AT50057,QZ1031,QF1446,2024-07-02,60.09,377,True
AT50058,QZ1031,QF1538,2024-06-03,82.41,192,True
AT50059,QZ1031,QF1676,2024-08-31,94.02,367,True
AT50060,QZ1031,QF1678,2024-06-12,95.39,248,True
AT50061,QZ1031,QF1940,2024-05-02,67.25,281,True
AT50062,QZ1031,QF1885,2024-06-08,90.41,329,True
AT50063,QZ1031,QF1327,2024-07-03,53.23,229,True
AT50064,QZ1033,QF1407,2024-08-28,51.14,208,True
AT50065,QZ1033,QF1016,2024-07-19,76.18,189,True
AT50066,QZ1033,QF1793,2024-07-27,69.91,198,True
AT50067,QZ1034,QF1424,2024-08-12,90.14,322,True
AT50068,QZ1034,QF1457,2024-08-24,100.0,337,True
AT50069,QZ1034,QF1634,2024-08-30,77.68,350,True
AT50070,QZ1035,QF1989,2024-07-21,65.4,245,True
AT50071,QZ1035,QF1757,2024-07-01,83.63,284,True
AT50072,QZ1035,QF1303,2024-08-27,66.79,252,True
AT50073,QZ1035,QF1360,2024-06-25,57.19,306,True
AT50074,QZ1037,QF1104,2024-08-19,65.18,324,True
AT50075,QZ1037,QF1130,2024-08-20,68.47,181,True
AT50076,QZ1037,QF1684,2024-08-20,65.51,261,True
AT50077,QZ1037,QF1008,2024-08-19,77.55,218,True
AT50078,QZ1037,QF1425,2024-08-24,63.78,373,True
AT50079,QZ1037,QF1264,2024-08-20,87.41,290,True
AT50080,QZ1037,QF1952,2024-08-30,88.23,330,True
AT50081,QZ1037,QF1106,2024-08-17,57.62,335,True
AT50082,QZ1037,QF1912,2024-08-24,46.23,375,False
AT50083,QZ1037,QF1021,2024-08-27,68.25,300,True
AT50084,QZ1038,QF1017,2024-08-03,86.43,240,True
AT50085,QZ1038,QF1521,2024-08-19,75.43,198,True
AT50086,QZ1038,QF1551,2024-08-09,99.77,245,True
AT50087,QZ1038,QF1814,2024-07-27,84.12,216,True
AT50088,QZ1041,QF1262,2024-08-31,82.86,183,True
AT50089,QZ1041,QF1995,2024-08-09,49.56,285,False
AT50090,QZ1041,QF1664,2024-08-08,53.99,306,True
AT50091,QZ1042,QF1702,2024-08-06,77.59,247,True
AT50092,QZ1042,QF1470,2024-07-31,67.57,432,True
AT50093,QZ1042,QF1416,2024-07-17,58.07,437,True
AT50094,QZ1042,QF1139,2024-06-13,64.57,482,True
AT50095,QZ1042,QF1056,2024-08-04,65.07,305,True
AT50096,QZ1042,QF1713,2024-07-17,76.63,374,True
AT50097,QZ1042,QF1899,2024-06-08,81.48,397,True
AT50098,QZ1042,QF1012,2024-08-18,66.15,478,True
AT50099,QZ1042,QF1084,2024-08-14,96.19,318,True
AT50100,QZ1042,QF1821,2024-08-18,100.0,443,True
AT50101,QZ1042,QF1624,2024-08-04,79.22,467,True
AT50102,QZ1042,QF1165,2024-08-09,75.94,439,True
AT50103,QZ1042,QF1941,2024-07-23,100.0,363,True
AT50104,QZ1044,QF1908,2024-08-27,50.59,206,True
AT50105,QZ1044,QF1511,2024-08-29,67.02,123,True
AT50106,QZ1044,QF1130,2024-08-28,82.08,211,True
AT50107,QZ1046,QF1057,2024-05-17,64.71,377,True
AT50108,QZ1046,QF1598,2024-05-05,67.61,233,True
AT50109,QZ1046,QF1382,2024-05-27,55.04,412,True
AT50110,QZ1047,QF1729,2024-07-05,62.95,349,True
AT50111,QZ1047,QF1951,2024-08-31,56.95,321,True
AT50112,QZ1049,QF1738,2024-08-19,84.17,262,True
AT50113,QZ1049,QF1624,2024-07-11,79.45,218,True
AT50114,QZ1053,QF1649,2024-06-02,100.0,213,True
AT50115,QZ1053,QF1826,2024-07-23,49.85,244,False
AT50116,QZ1053,QF1133,2024-07-26,97.55,202,True
AT50117,QZ1053,QF1755,2024-05-21,74.33,349,True
AT50118,QZ1053,QF1334,2024-06-03,84.52,237,True
AT50119,QZ1053,QF1513,2024-06-22,78.01,303,True
AT50120,QZ1054,QF1418,2024-07-18,80.22,281,True
AT50121,QZ1054,QF1708,2024-06-07,86.76,203,True
AT50122,QZ1056,QF1145,2024-08-13,50.38,489,True
AT50123,QZ1056,QF1302,2024-07-10,71.32,300,True
AT50124,QZ1056,QF1730,2024-08-07,88.69,252,True
AT50125,QZ1056,QF1504,2024-07-21,83.45,294,True
AT50126,QZ1056,QF1272,2024-07-10,50.21,273,True
AT50127,QZ1056,QF1324,2024-07-16,64.64,486,True
AT50128,QZ1056,QF1154,2024-08-10,78.33,436,True
AT50129,QZ1056,QF1589,2024-08-12,47.01,281,False
AT50130,QZ1057,QF1104,2024-08-23,77.55,193,True
AT50131,QZ1059,QF1970,2024-08-26,81.32,353,True
AT50132,QZ1059,QF1041,2024-08-28,86.04,192,True
AT50133,QZ1059,QF1160,2024-08-28,58.25,367,True
AT50134,QZ1059,QF1613,2024-08-25,92.68,185,True
AT50135,QZ1061,QF1143,2024-08-02,60.22,289,True
AT50136,QZ1062,QF1449,2024-08-27,65.67,223,True
AT50137,QZ1064,QF1244,2024-07-10,62.67,365,True
AT50138,QZ1067,QF1522,2024-08-27,78.59,223,True
AT50139,QZ1068,QF1135,2024-07-31,74.49,318,True
AT50140,QZ1068,QF1459,2024-07-15,69.23,462,True
AT50141,QZ1068,QF1507,2024-06-18,60.49,467,True
AT50142,QZ1068,QF1364,2024-08-06,74.72,332,True
AT50143,QZ1069,QF1008,2024-07-24,75.28,238,True
AT50144,QZ1069,QF1340,2024-08-17,51.91,439,True
AT50145,QZ1069,QF1389,2024-07-31,65.17,354,True
AT50146,QZ1069,QF1337,2024-05-14,74.95,376,True
AT50147,QZ1073,QF1574,2024-07-26,50.01,155,True
AT50148,QZ1073,QF1372,2024-07-17,90.82,83,True
AT50149,QZ1073,QF1317,2024-08-21,94.04,163,True
AT50150,QZ1073,QF1991,2024-07-04,52.06,91,True
AT50151,QZ1074,QF1648,2024-08-13,80.1,133,True
AT50152,QZ1075,QF1449,2024-04-07,65.57,328,True
AT50153,QZ1075,QF1534,2024-04-18,79.78,557,True
AT50154,QZ1075,QF1402,2024-05-27,46.49,394,False
AT50155,QZ1076,QF1204,2024-07-05,78.34,198,True
AT50156,QZ1076,QF1327,2024-08-02,63.92,126,True
AT50157,QZ1076,QF1043,2024-08-29,42.98,182,False
AT50158,QZ1076,QF1472,2024-08-04,70.22,219,True
AT50159,QZ1076,QF1214,2024-07-30,64.25,107,True
AT50160,QZ1079,QF1814,2024-08-28,85.63,203,True
AT50161,QZ1079,QF1689,2024-08-29,83.42,178,True
AT50162,QZ1079,QF1579,2024-08-29,88.71,229,True
AT50163,QZ1079,QF1272,2024-08-28,86.63,148,True
AT50164,QZ1079,QF1808,2024-08-29,91.98,229,True
AT50165,QZ1079,QF1844,2024-08-28,64.43,152,True
AT50166,QZ1079,QF1490,2024-08-31,97.08,185,True
AT50167,QZ1080,QF1795,2024-07-02,92.38,402,True
AT50168,QZ1080,QF1678,2024-06-06,73.13,540,True
AT50169,QZ1080,QF1831,2024-07-08,93.22,558,True
AT50170,QZ1080,QF1145,2024-06-29,65.42,444,True
AT50171,QZ1080,QF1465,2024-05-29,75.32,408,True
AT50172,QZ1080,QF1667,2024-05-28,94.18,394,True
AT50173,QZ1080,QF1078,2024-08-22,60.0,444,True
AT50174,QZ1080,QF1758,2024-06-26,65.47,406,True
AT50175,QZ1080,QF1339,2024-05-27,76.41,451,True
AT50176,QZ1081,QF1013,2024-04-24,79.31,303,True
AT50177,QZ1081,QF1408,2024-06-10,71.96,590,True
AT50178,QZ1081,QF1980,2024-04-23,78.32,540,True
AT50179,QZ1081,QF1407,2024-05-23,58.44,340,True
AT50180,QZ1081,QF1744,2024-06-19,47.32,577,False
AT50181,QZ1081,QF1944,2024-07-01,62.94,576,True
AT50182,QZ1083,QF1564,2024-07-24,83.82,325,True
AT50183,QZ1084,QF1118,2024-07-08,94.3,328,True
AT50184,QZ1084,QF1747,2024-05-31,80.6,257,True
AT50185,QZ1084,QF1595,2024-07-31,75.18,365,True
AT50186,QZ1084,QF1381,2024-08-13,86.94,196,True
AT50187,QZ1084,QF1653,2024-05-29,70.21,219,True
AT50188,QZ1084,QF1828,2024-06-10,79.37,194,True
AT50189,QZ1084,QF1463,2024-05-14,92.69,202,True
AT50190,QZ1084,QF1574,2024-07-06,75.99,369,True
AT50191,QZ1087,QF1183,2024-08-28,73.15,257,True
AT50192,QZ1087,QF1296,2024-08-29,97.91,450,True
AT50193,QZ1087,QF1758,2024-08-26,71.83,223,True
AT50194,QZ1088,QF1289,2024-08-28,53.49,210,True
AT50195,QZ1091,QF1644,2024-08-01,63.46,182,True
AT50196,QZ1091,QF1816,2024-08-26,58.06,173,True
AT50197,QZ1092,QF1904,2024-08-20,95.38,176,True
AT50198,QZ1092,QF1813,2024-08-29,68.18,269,True
AT50199,QZ1093,QF1210,2024-08-09,60.02,406,True
AT50200,QZ1093,QF1110,2024-07-03,84.26,453,True
AT50201,QZ1093,QF1345,2024-06-05,94.38,327,True
AT50202,QZ1093,QF1366,2024-07-06,79.58,284,True
AT50203,QZ1093,QF1493,2024-07-01,70.16,488,True
AT50204,QZ1093,QF1927,2024-07-05,83.02,388,True
AT50205,QZ1093,QF1596,2024-06-05,70.37,308,True
AT50206,QZ1094,QF1189,2024-04-30,60.11,289,True
AT50207,QZ1095,QF1632,2024-06-21,66.73,305,True
AT50208,QZ1095,QF1567,2024-07-12,84.33,406,True
AT50209,QZ1095,QF1604,2024-06-20,66.86,476,True
AT50210,QZ1097,QF1582,2024-07-03,64.97,238,True
AT50211,QZ1097,QF1702,2024-08-25,65.93,353,True
AT50212,QZ1097,QF1967,2024-07-03,69.97,408,True
AT50213,QZ1097,QF1242,2024-06-29,78.4,219,True
AT50214,QZ1097,QF1802,2024-06-25,61.47,244,True
AT50215,QZ1097,QF1310,2024-07-21,44.28,315,False
AT50216,QZ1099,QF1598,2024-08-07,84.93,319,True
AT50217,QZ1100,QF1676,2024-08-16,72.63,322,True
AT50218,QZ1100,QF1496,2024-08-10,86.64,345,True
AT50219,QZ1100,QF1727,2024-08-09,90.16,404,True
AT50220,QZ1100,QF1517,2024-08-12,74.25,230,True
AT50221,QZ1102,QF1838,2024-07-19,73.83,210,True
AT50222,QZ1106,QF1521,2024-07-29,84.9,223,True
AT50223,QZ1106,QF1553,2024-08-24,81.76,211,True
AT50224,QZ1106,QF1868,2024-08-18,62.46,215,True
AT50225,QZ1106,QF1936,2024-08-28,95.04,360,True
AT50226,QZ1106,QF1188,2024-07-29,87.65,302,True
AT50227,QZ1107,QF1689,2024-07-30,45.84,177,False
AT50228,QZ1107,QF1073,2024-06-05,63.49,173,True
AT50229,QZ1107,QF1451,2024-08-02,77.66,143,True
AT50230,QZ1108,QF1104,2024-07-11,100.0,278,True
AT50231,QZ1108,QF1669,2024-07-19,86.63,389,True
AT50232,QZ1108,QF1304,2024-08-11,54.22,253,True
AT50233,QZ1108,QF1033,2024-07-10,86.05,495,True
AT50234,QZ1109,QF1148,2024-08-01,65.91,365,True
AT50235,QZ1109,QF1196,2024-06-15,86.49,224,True
AT50236,QZ1110,QF1659,2024-06-07,65.81,112,True
AT50237,QZ1110,QF1624,2024-06-21,66.58,139,True
AT50238,QZ1110,QF1297,2024-05-27,79.53,121,True
AT50239,QZ1110,QF1381,2024-06-23,31.63,149,False
AT50240,QZ1110,QF1824,2024-08-08,70.85,146,True
AT50241,QZ1111,QF1534,2024-08-31,98.44,473,True
AT50242,QZ1111,QF1303,2024-08-25,80.95,452,True
AT50243,QZ1111,QF1560,2024-08-27,69.76,394,True
AT50244,QZ1112,QF1973,2024-08-17,66.32,270,True
AT50245,QZ1112,QF1695,2024-08-19,61.95,225,True
AT50246,QZ1112,QF1138,2024-08-20,75.62,159,True
AT50247,QZ1112,QF1804,2024-08-18,68.36,136,True
AT50248,QZ1113,QF1524,2024-06-16,69.3,232,True
AT50249,QZ1113,QF1129,2024-07-20,77.86,206,True
AT50250,QZ1113,QF1135,2024-05-12,74.2,275,True
AT50251,QZ1113,QF1609,2024-08-29,54.95,308,True
AT50252,QZ1115,QF1927,2024-06-24,99.53,290,True
AT50253,QZ1115,QF1506,2024-07-27,80.04,293,True
AT50254,QZ1117,QF1160,2024-07-16,84.18,270,True
AT50255,QZ1117,QF1525,2024-07-07,74.53,334,True
AT50256,QZ1117,QF1694,2024-07-01,87.48,213,True
AT50257,QZ1117,QF1919,2024-06-25,57.19,349,True
AT50258,QZ1117,QF1003,2024-06-16,66.92,336,True
AT50259,QZ1119,QF1869,2024-05-12,78.55,271,True
AT50260,QZ1119,QF1675,2024-06-21,82.38,210,True
AT50261,QZ1120,QF1407,2024-08-05,78.27,300,True
AT50262,QZ1121,QF1392,2024-08-25,52.81,454,True
AT50263,QZ1121,QF1610,2024-08-26,67.93,380,True
AT50264,QZ1122,QF1227,2024-08-09,72.59,177,True
AT50265,QZ1122,QF1915,2024-08-05,79.32,300,True
AT50266,QZ1124,QF1047,2024-04-01,85.81,140,True
AT50267,QZ1125,QF1470,2024-08-29,61.33,215,True
AT50268,QZ1126,QF1161,2024-06-13,74.27,425,True
AT50269,QZ1126,QF1001,2024-07-21,70.91,471,True
AT50270,QZ1126,QF1438,2024-04-06,70.34,351,True
AT50271,QZ1127,QF1230,2024-08-14,65.97,254,True
AT50272,QZ1127,QF1309,2024-08-29,67.66,299,True
AT50273,QZ1127,QF1515,2024-08-14,60.03,320,True
AT50274,QZ1127,QF1679,2024-07-14,47.83,166,False
AT50275,QZ1127,QF1698,2024-08-10,71.48,272,True
AT50276,QZ1128,QF1089,2024-05-09,81.69,167,True
AT50277,QZ1129,QF1430,2024-07-08,68.01,231,True
AT50278,QZ1130,QF1165,2024-08-14,72.01,181,True
AT50279,QZ1130,QF1900,2024-06-09,68.6,374,True
AT50280,QZ1130,QF1416,2024-08-25,76.38,253,True
AT50281,QZ1131,QF1010,2024-08-03,68.19,398,True
AT50282,QZ1131,QF1206,2024-08-31,87.2,265,True
AT50283,QZ1132,QF1230,2024-08-30,67.99,198,True
AT50284,QZ1132,QF1423,2024-08-31,59.05,246,True
AT50285,QZ1132,QF1174,2024-08-31,63.63,298,True
AT50286,QZ1132,QF1692,2024-08-28,72.17,310,True
AT50287,QZ1132,QF1140,2024-08-27,75.51,272,True
AT50288,QZ1132,QF1232,2024-08-29,63.44,349,True
AT50289,QZ1132,QF1252,2024-08-26,92.73,382,True
AT50290,QZ1132,QF1010,2024-08-30,82.16,424,True
AT50291,QZ1132,QF1296,2024-08-27,86.46,394,True
AT50292,QZ1132,QF1395,2024-08-26,97.63,294,True
AT50293,QZ1132,QF1269,2024-08-27,66.53,290,True
AT50294,QZ1132,QF1630,2024-08-27,93.96,395,True
AT50295,QZ1132,QF1402,2024-08-28,88.36,195,True
AT50296,QZ1132,QF1171,2024-08-27,68.86,358,True
AT50297,QZ1132,QF1215,2024-08-26,57.52,357,True
AT50298,QZ1132,QF1727,2024-08-28,100.0,242,True
AT50299,QZ1132,QF1813,2024-08-26,78.28,245,True
AT50300,QZ1132,QF1245,2024-08-27,72.42,425,True
AT50301,QZ1132,QF1143,2024-08-26,76.53,220,True
AT50302,QZ1134,QF1291,2024-08-07,51.45,441,True
AT50303,QZ1134,QF1707,2024-08-07,68.39,339,True
AT50304,QZ1134,QF1575,2024-08-25,82.72,397,True
AT50305,QZ1134,QF1959,2024-08-02,63.13,316,True
AT50306,QZ1134,QF1746,2024-08-30,60.47,387,True
AT50307,QZ1134,QF1093,2024-08-10,73.49,283,True
AT50308,QZ1134,QF1812,2024-08-11,77.8,466,True
AT50309,QZ1134,QF1506,2024-08-15,77.54,359,True
AT50310,QZ1135,QF1123,2024-08-20,67.45,176,True
AT50311,QZ1136,QF1369,2024-08-28,59.26,189,True
AT50312,QZ1137,QF1798,2024-05-28,58.5,309,True
AT50313,QZ1140,QF1788,2024-08-19,50.87,156,True
AT50314,QZ1140,QF1117,2024-08-16,96.62,142,True
AT50315,QZ1140,QF1400,2024-08-31,74.74,158,True
AT50316,QZ1140,QF1106,2024-08-16,84.02,184,True
AT50317,QZ1140,QF1407,2024-08-18,77.7,207,True
AT50318,QZ1141,QF1945,2024-07-30,75.96,214,True
AT50319,QZ1141,QF1433,2024-08-15,66.21,219,True
AT50320,QZ1143,QF1271,2024-08-17,74.55,222,True
AT50321,QZ1144,QF1967,2024-08-15,69.88,148,True
AT50322,QZ1144,QF1997,2024-08-26,59.84,187,True
AT50323,QZ1144,QF1549,2024-08-16,50.78,265,True
AT50324,QZ1146,QF1665,2024-08-10,67.9,241,True
AT50325,QZ1152,QF1821,2024-06-08,77.85,393,True
AT50326,QZ1152,QF1099,2024-04-27,77.37,239,True
AT50327,QZ1152,QF1314,2024-06-23,87.46,355,True
AT50328,QZ1154,QF1167,2024-07-21,65.08,190,True
AT50329,QZ1155,QF1978,2024-08-12,60.96,575,True
AT50330,QZ1157,QF1219,2024-08-14,77.9,330,True
AT50331,QZ1159,QF1120,2024-06-28,77.85,151,True
AT50332,QZ1159,QF1030,2024-08-14,66.85,121,True
AT50333,QZ1161,QF1494,2024-06-16,87.56,181,True
AT50334,QZ1161,QF1590,2024-06-19,73.93,182,True
AT50335,QZ1163,QF1099,2024-05-28,86.67,123,True
AT50336,QZ1163,QF1298,2024-06-19,64.35,88,True
AT50337,QZ1164,QF1175,2024-08-26,61.31,209,True
AT50338,QZ1164,QF1690,2024-05-25,74.0,257,True
AT50339,QZ1164,QF1233,2024-08-08,77.69,254,True
AT50340,QZ1164,QF1002,2024-05-27,87.53,247,True
AT50341,QZ1164,QF1017,2024-07-07,83.44,213,True
AT50342,QZ1164,QF1889,2024-08-22,87.76,400,True
AT50343,QZ1165,QF1183,2024-05-14,86.65,241,True
AT50344,QZ1165,QF1878,2024-05-23,65.39,205,True
AT50345,QZ1168,QF1413,2024-08-22,81.32,148,True
AT50346,QZ1170,QF1277,2024-08-03,54.13,194,True
AT50347,QZ1170,QF1585,2024-06-19,68.93,229,True
AT50348,QZ1170,QF1948,2024-07-04,83.01,210,True
AT50349,QZ1171,QF1410,2024-08-03,70.94,162,True
AT50350,QZ1171,QF1047,2024-08-04,75.28,236,True
AT50351,QZ1171,QF1070,2024-06-28,74.91,198,True
AT50352,QZ1173,QF1318,2024-08-30,71.46,89,True
AT50353,QZ1173,QF1866,2024-08-31,100.0,92,True
AT50354,QZ1173,QF1372,2024-08-30,55.16,124,True
AT50355,QZ1175,QF1248,2024-08-18,72.4,146,True
AT50356,QZ1175,QF1933,2024-08-16,67.35,136,True
AT50357,QZ1175,QF1794,2024-08-19,59.73,230,True
AT50358,QZ1175,QF1457,2024-08-20,90.89,281,True
AT50359,QZ1175,QF1778,2024-08-25,78.46,264,True
AT50360,QZ1175,QF1649,2024-08-23,89.84,258,True
AT50361,QZ1175,QF1012,2024-08-24,71.12,268,True
AT50362,QZ1178,QF1744,2024-08-18,70.73,259,True
AT50363,QZ1178,QF1380,2024-08-20,86.61,361,True
AT50364,QZ1178,QF1444,2024-08-17,77.68,283,True
AT50365,QZ1178,QF1106,2024-08-17,63.34,218,True
AT50366,QZ1178,QF1145,2024-08-18,90.63,177,True
AT50367,QZ1178,QF1095,2024-08-21,91.17,324,True
AT50368,QZ1178,QF1426,2024-08-22,95.44,288,True
AT50369,QZ1178,QF1532,2024-08-30,87.72,199,True
AT50370,QZ1178,QF1700,2024-08-27,77.44,321,True
AT50371,QZ1178,QF1143,2024-08-17,71.62,258,True
AT50372,QZ1178,QF1952,2024-08-21,67.49,248,True
AT50373,QZ1178,QF1749,2024-08-21,70.16,313,True
AT50374,QZ1178,QF1109,2024-08-31,62.5,360,True
AT50375,QZ1179,QF1242,2024-08-07,83.69,226,True
AT50376,QZ1179,QF1598,2024-08-16,62.47,289,True
AT50377,QZ1179,QF1402,2024-08-11,60.16,435,True
AT50378,QZ1179,QF1753,2024-08-23,89.1,319,True
AT50379,QZ1180,QF1430,2024-07-02,48.73,345,False
AT50380,QZ1181,QF1183,2024-06-06,36.24,192,False
AT50381,QZ1181,QF1296,2024-07-03,73.19,132,True
AT50382,QZ1182,QF1206,2024-07-22,90.2,257,True
AT50383,QZ1183,QF1212,2024-08-22,75.43,402,True
AT50384,QZ1184,QF1203,2024-08-24,76.86,81,True
AT50385,QZ1184,QF1580,2024-08-16,76.99,130,True
AT50386,QZ1184,QF1713,2024-08-28,73.89,110,True
AT50387,QZ1184,QF1400,2024-08-16,86.88,105,True
AT50388,QZ1185,QF1154,2024-07-14,67.62,534,True
AT50389,QZ1185,QF1991,2024-06-21,64.94,327,True
AT50390,QZ1185,QF1971,2024-08-26,76.59,282,True
AT50391,QZ1185,QF1571,2024-06-21,80.4,253,True
AT50392,QZ1185,QF1313,2024-07-10,68.63,547,True
AT50393,QZ1185,QF1770,2024-06-22,80.6,325,True
AT50394,QZ1185,QF1569,2024-06-19,61.59,483,True
AT50395,QZ1185,QF1255,2024-07-08,70.19,458,True
AT50396,QZ1185,QF1174,2024-07-06,83.02,296,True
AT50397,QZ1186,QF1017,2024-07-22,69.12,291,True
AT50398,QZ1186,QF1408,2024-06-29,56.91,447,True
AT50399,QZ1186,QF1762,2024-08-08,56.77,459,True
AT50400,QZ1186,QF1143,2024-06-18,65.4,402,True
AT50401,QZ1186,QF1488,2024-06-22,64.55,299,True
AT50402,QZ1186,QF1076,2024-08-08,52.96,375,True
AT50403,QZ1186,QF1113,2024-06-28,57.57,563,True
AT50404,QZ1186,QF1838,2024-07-01,56.88,440,True
AT50405,QZ1186,QF1094,2024-07-15,84.32,497,True
AT50406,QZ1187,QF1339,2024-07-11,70.58,301,True
AT50407,QZ1187,QF1872,2024-07-16,98.3,186,True
AT50408,QZ1187,QF1817,2024-07-12,70.18,302,True
AT50409,QZ1188,QF1052,2024-08-23,82.65,172,True
AT50410,QZ1188,QF1810,2024-08-14,66.61,203,True
AT50411,QZ1188,QF1396,2024-08-17,78.5,183,True
AT50412,QZ1188,QF1281,2024-08-17,57.79,251,True
AT50413,QZ1188,QF1262,2024-08-14,61.29,174,True
AT50414,QZ1189,QF1457,2024-08-04,72.41,423,True
AT50415,QZ1189,QF1941,2024-08-18,71.27,375,True
AT50416,QZ1192,QF1240,2024-08-06,100.0,137,True
AT50417,QZ1192,QF1993,2024-07-25,46.99,112,False
AT50418,QZ1193,QF1556,2024-07-18,61.7,303,True
AT50419,QZ1193,QF1391,2024-06-15,71.39,224,True
AT50420,QZ1195,QF1915,2024-08-09,86.56,293,True
AT50421,QZ1197,QF1510,2024-08-31,68.58,461,True
AT50422,QZ1198,QF1404,2024-06-14,79.9,466,True
AT50423,QZ1198,QF1534,2024-05-17,65.08,461,True
AT50424,QZ1198,QF1889,2024-05-31,73.92,675,True
AT50425,QZ1201,QF1102,2024-08-24,55.84,181,True
AT50426,QZ1202,QF1100,2024-07-17,76.12,298,True
AT50427,QZ1203,QF1589,2024-08-26,85.77,186,True
AT50428,QZ1207,QF1180,2024-07-20,73.94,306,True
AT50429,QZ1207,QF1602,2024-08-29,85.32,274,True
AT50430,QZ1207,QF1714,2024-07-28,69.91,416,True
AT50431,QZ1207,QF1048,2024-08-28,84.45,288,True
AT50432,QZ1207,QF1360,2024-08-06,86.76,505,True
AT50433,QZ1207,QF1577,2024-07-12,53.76,448,True
AT50434,QZ1207,QF1346,2024-08-01,82.67,311,True
AT50435,QZ1207,QF1829,2024-07-31,60.71,408,True
AT50436,QZ1207,QF1504,2024-08-07,66.9,275,True
AT50437,QZ1207,QF1314,2024-08-26,67.47,260,True
AT50438,QZ1207,QF1153,2024-08-20,71.58,340,True
AT50439,QZ1207,QF1404,2024-07-25,85.33,441,True
AT50440,QZ1208,QF1624,2024-06-22,88.19,246,True
AT50441,QZ1210,QF1317,2024-07-26,86.84,343,True
AT50442,QZ1212,QF1034,2024-08-27,49.62,239,False
AT50443,QZ1214,QF1185,2024-08-30,85.4,500,True
AT50444,QZ1214,QF1881,2024-08-25,87.15,328,True
AT50445,QZ1214,QF1126,2024-08-18,55.64,431,True
AT50446,QZ1215,QF1405,2024-08-05,81.77,689,True
AT50447,QZ1215,QF1633,2024-08-08,86.64,628,True
AT50448,QZ1215,QF1238,2024-08-17,89.0,541,True
