question_id,quiz_id,creator_id,creation_date,topic,question_type,bloom_level,difficulty_score
QS10107,QZ1013,QF1001,2024-08-07,Mathematics,MCQ,Understand,2.89
QS10108,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Remember,3.52
QS10109,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Understand,3.9
QS10110,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Apply,3.44
QS10111,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Understand,1.39
QS10112,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Apply,3.37
QS10113,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Remember,1.12
QS10114,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Remember,1.51
QS10115,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Analyze,3.37
QS10116,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Remember,1.12
QS10117,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Understand,2.78
QS10118,QZ1014,QF1001,2024-05-31,Mathematics,MCQ,Analyze,3.23
QS10119,QZ1015,QF1002,2024-08-07,Physics,MCQ,Evaluate,4.83
QS10120,QZ1015,QF1002,2024-08-07,Physics,MCQ,Analyze,4.78
QS10121,QZ1015,QF1002,2024-08-07,Physics,MCQ,Remember,1.0
QS10122,QZ1015,QF1002,2024-08-07,Physics,MCQ,Remember,1.53
QS10123,QZ1015,QF1002,2024-08-07,Physics,MCQ,Understand,1.85
QS10124,QZ1015,QF1002,2024-08-07,Physics,MCQ,Remember,1.47
QS10125,QZ1016,QF1002,2024-08-02,Biology,MCQ,Remember,2.71
QS10126,QZ1016,QF1002,2024-08-02,Biology,MCQ,Understand,4.53
QS10127,QZ1016,QF1002,2024-08-02,Biology,MCQ,Evaluate,4.58
QS10128,QZ1016,QF1002,2024-08-02,Biology,MCQ,Understand,2.08
QS10129,QZ1016,QF1002,2024-08-02,Biology,MCQ,Remember,2.0
QS10130,QZ1016,QF1002,2024-08-02,Biology,MCQ,Apply,4.16
QS10131,QZ1016,QF1002,2024-08-02,Biology,MCQ,Remember,1.83
QS10132,QZ1016,QF1002,2024-08-02,Biology,MCQ,Remember,1.0
QS10133,QZ1017,QF1003,2024-04-05,Biology,MCQ,Apply,3.79
QS10134,QZ1017,QF1003,2024-04-05,Biology,MCQ,Remember,2.09
QS10135,QZ1017,QF1003,2024-04-05,Biology,MCQ,Analyze,5.0
QS10136,QZ1017,QF1003,2024-04-05,Biology,MCQ,Understand,2.71
QS10137,QZ1017,QF1003,2024-04-05,Biology,MCQ,Create,5.0
QS10138,QZ1017,QF1003,2024-04-05,Biology,MCQ,Apply,3.36
QS10139,QZ1017,QF1003,2024-04-05,Biology,MCQ,Understand,2.87
QS10140,QZ1017,QF1003,2024-04-05,Biology,Open,Remember,2.43
QS10141,QZ1018,QF1003,2024-05-21,Language,MCQ,Evaluate,5.0
QS10142,QZ1018,QF1003,2024-05-21,Language,MCQ,Remember,1.12
QS10143,QZ1018,QF1003,2024-05-21,Language,MCQ,Create,5.0
QS10144,QZ1018,QF1003,2024-05-21,Language,MCQ,Understand,1.28
QS10145,QZ1018,QF1003,2024-05-21,Language,MCQ,Understand,2.61
QS10146,QZ1018,QF1003,2024-05-21,Language,MCQ,Apply,3.86
QS10147,QZ1018,QF1003,2024-05-21,Language,MCQ,Apply,3.85
QS10148,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Analyze,5.0
QS10149,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Understand,2.55
QS10150,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Remember,1.0
QS10151,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Apply,2.23
QS10152,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Remember,1.81
QS10153,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Understand,2.38
QS10154,QZ1019,QF1005,2024-08-21,General Knowledge,MCQ,Analyze,4.37
QS10155,QZ1020,QF1007,2024-08-20,Mathematics,MCQ,Apply,3.36
QS10156,QZ1020,QF1007,2024-08-20,Mathematics,MCQ,Understand,3.81
QS10157,QZ1020,QF1007,2024-08-20,Mathematics,MCQ,Remember,2.48
QS10158,QZ1020,QF1007,2024-08-20,Mathematics,MCQ,Apply,2.44
QS10159,QZ1021,QF1007,2024-07-06,Language,MCQ,Apply,1.98
QS10160,QZ1021,QF1007,2024-07-06,Language,MCQ,Apply,3.01
QS10161,QZ1021,QF1007,2024-07-06,Language,MCQ,Remember,1.0
QS10162,QZ1021,QF1007,2024-07-06,Language,MCQ,Analyze,4.62
QS10163,QZ1021,QF1007,2024-07-06,Language,MCQ,Analyze,2.07
QS10164,QZ1021,QF1007,2024-07-06,Language,MCQ,Understand,2.34
QS10165,QZ1021,QF1007,2024-07-06,Language,MCQ,Analyze,2.94
QS10166,QZ1021,QF1007,2024-07-06,Language,MCQ,Remember,1.49
QS10167,QZ1022,QF1007,2024-05-03,Biology,MCQ,Understand,1.0
QS10168,QZ1022,QF1007,2024-05-03,Biology,MCQ,Understand,2.96
QS10169,QZ1022,QF1007,2024-05-03,Biology,MCQ,Create,4.21
QS10170,QZ1022,QF1007,2024-05-03,Biology,MCQ,Apply,2.93
QS10171,QZ1022,QF1007,2024-05-03,Biology,MCQ,Understand,2.74
QS10172,QZ1022,QF1007,2024-05-03,Biology,MCQ,Remember,2.49
QS10173,QZ1022,QF1007,2024-05-03,Biology,MCQ,Apply,3.33
QS10174,QZ1022,QF1007,2024-05-03,Biology,MCQ,Remember,2.57
QS10175,QZ1022,QF1007,2024-05-03,Biology,MCQ,Understand,1.0
QS10176,QZ1022,QF1007,2024-05-03,Biology,MCQ,Analyze,4.14
QS10177,QZ1023,QF1009,2024-05-31,Programming,MCQ,Remember,1.04
QS10178,QZ1023,QF1009,2024-05-31,Programming,MCQ,Evaluate,4.17
QS10179,QZ1023,QF1009,2024-05-31,Programming,MCQ,Apply,3.21
QS10180,QZ1023,QF1009,2024-05-31,Programming,MCQ,Analyze,2.54
QS10181,QZ1023,QF1009,2024-05-31,Programming,MCQ,Create,5.0
QS10182,QZ1023,QF1009,2024-05-31,Programming,MCQ,Evaluate,4.2
QS10183,QZ1024,QF1009,2024-06-09,Language,MCQ,Analyze,4.35
QS10184,QZ1024,QF1009,2024-06-09,Language,MCQ,Understand,3.14
QS10185,QZ1024,QF1009,2024-06-09,Language,MCQ,Remember,1.0
QS10186,QZ1024,QF1009,2024-06-09,Language,MCQ,Remember,3.21
QS10187,QZ1024,QF1009,2024-06-09,Language,Open,Apply,2.65
QS10188,QZ1024,QF1009,2024-06-09,Language,MCQ,Evaluate,5.0
QS10189,QZ1024,QF1009,2024-06-09,Language,MCQ,Create,4.62
QS10190,QZ1024,QF1009,2024-06-09,Language,MCQ,Apply,4.23
QS10191,QZ1024,QF1009,2024-06-09,Language,MCQ,Evaluate,5.0
QS10192,QZ1024,QF1009,2024-06-09,Language,MCQ,Apply,2.63
QS10193,QZ1024,QF1009,2024-06-09,Language,MCQ,Understand,1.78
QS10194,QZ1024,QF1009,2024-06-09,Language,Open,Remember,3.2
QS10195,QZ1025,QF1009,2024-06-07,Computer Science,MCQ,Remember,1.7
QS10196,QZ1025,QF1009,2024-06-07,Computer Science,MCQ,Evaluate,3.99
QS10197,QZ1025,QF1009,2024-06-07,Computer Science,MCQ,Evaluate,3.92
QS10198,QZ1025,QF1009,2024-06-07,Computer Science,MCQ,Remember,1.92
QS10199,QZ1026,QF1009,2024-07-08,Biology,MCQ,Apply,4.25
QS10200,QZ1026,QF1009,2024-07-08,Biology,MCQ,Remember,1.81
QS10201,QZ1026,QF1009,2024-07-08,Biology,MCQ,Understand,3.22
QS10202,QZ1026,QF1009,2024-07-08,Biology,MCQ,Remember,2.97
QS10203,QZ1026,QF1009,2024-07-08,Biology,MCQ,Analyze,3.58
QS10204,QZ1026,QF1009,2024-07-08,Biology,MCQ,Remember,2.51
QS10205,QZ1026,QF1009,2024-07-08,Biology,MCQ,Evaluate,3.96
QS10206,QZ1027,QF1009,2024-08-16,Business Studies,MCQ,Understand,1.88
QS10207,QZ1027,QF1009,2024-08-16,Business Studies,MCQ,Remember,3.06
QS10208,QZ1027,QF1009,2024-08-16,Business Studies,MCQ,Analyze,4.05
QS10209,QZ1027,QF1009,2024-08-16,Business Studies,MCQ,Remember,1.63
QS10210,QZ1027,QF1009,2024-08-16,Business Studies,MCQ,Understand,2.04
QS10211,QZ1027,QF1009,2024-08-16,Business Studies,MCQ,Understand,2.29
QS10212,QZ1028,QF1009,2024-06-07,General Knowledge,Open,Apply,3.61
QS10213,QZ1028,QF1009,2024-06-07,General Knowledge,MCQ,Understand,3.38
QS10214,QZ1028,QF1009,2024-06-07,General Knowledge,MCQ,Analyze,4.92
QS10215,QZ1028,QF1009,2024-06-07,General Knowledge,Open,Remember,1.09
QS10216,QZ1028,QF1009,2024-06-07,General Knowledge,MCQ,Remember,2.48
QS10217,QZ1028,QF1009,2024-06-07,General Knowledge,MCQ,Evaluate,5.0
QS10218,QZ1028,QF1009,2024-06-07,General Knowledge,MCQ,Understand,1.55
QS10219,QZ1028,QF1009,2024-06-07,General Knowledge,MCQ,Understand,4.01
QS10220,QZ1029,QF1009,2024-07-24,English,Open,Evaluate,4.75
QS10221,QZ1029,QF1009,2024-07-24,English,MCQ,Remember,2.53
QS10222,QZ1029,QF1009,2024-07-24,English,MCQ,Evaluate,3.82
QS10223,QZ1029,QF1009,2024-07-24,English,MCQ,Remember,1.64
QS10224,QZ1030,QF1009,2024-07-11,Mathematics,Open,Remember,2.23
QS10225,QZ1030,QF1009,2024-07-11,Mathematics,Open,Remember,1.21
QS10226,QZ1030,QF1009,2024-07-11,Mathematics,MCQ,Understand,3.22
QS10227,QZ1030,QF1009,2024-07-11,Mathematics,MCQ,Understand,2.57
QS10228,QZ1030,QF1009,2024-07-11,Mathematics,MCQ,Remember,1.14
QS10229,QZ1030,QF1009,2024-07-11,Mathematics,MCQ,Remember,3.53
QS10230,QZ1030,QF1009,2024-07-11,Mathematics,MCQ,Apply,3.35
QS10231,QZ1030,QF1009,2024-07-11,Mathematics,MCQ,Understand,3.35
QS10232,QZ1030,QF1009,2024-07-11,Mathematics,Open,Remember,1.0
QS10233,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Remember,2.52
QS10234,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Apply,2.29
QS10235,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Apply,4.13
QS10236,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Understand,1.6
QS10237,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Remember,1.39
QS10238,QZ1031,QF1009,2024-04-16,Chemistry,Open,Apply,3.43
QS10239,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Remember,1.0
QS10240,QZ1031,QF1009,2024-04-16,Chemistry,Open,Understand,1.99
QS10241,QZ1031,QF1009,2024-04-16,Chemistry,MCQ,Create,5.0
QS10242,QZ1032,QF1009,2024-06-05,Computer Science,MCQ,Remember,1.97
QS10243,QZ1032,QF1009,2024-06-05,Computer Science,Open,Evaluate,4.62
QS10244,QZ1032,QF1009,2024-06-05,Computer Science,MCQ,Apply,2.75
QS10245,QZ1032,QF1009,2024-06-05,Computer Science,MCQ,Understand,3.41
QS10246,QZ1033,QF1009,2024-07-16,History,MCQ,Remember,2.91
QS10247,QZ1033,QF1009,2024-07-16,History,MCQ,Understand,3.44
QS10248,QZ1033,QF1009,2024-07-16,History,MCQ,Remember,2.28
QS10249,QZ1033,QF1009,2024-07-16,History,MCQ,Remember,4.04
QS10250,QZ1033,QF1009,2024-07-16,History,MCQ,Understand,2.09
QS10251,QZ1033,QF1009,2024-07-16,History,MCQ,Remember,2.94
QS10252,QZ1033,QF1009,2024-07-16,History,MCQ,Remember,3.82
QS10253,QZ1033,QF1009,2024-07-16,History,MCQ,Apply,4.78
QS10254,QZ1033,QF1009,2024-07-16,History,MCQ,Remember,1.98
QS10255,QZ1034,QF1009,2024-08-09,English,MCQ,Understand,1.36
QS10256,QZ1034,QF1009,2024-08-09,English,MCQ,Remember,2.61
QS10257,QZ1034,QF1009,2024-08-09,English,MCQ,Understand,3.41
QS10258,QZ1034,QF1009,2024-08-09,English,MCQ,Apply,4.34
QS10259,QZ1034,QF1009,2024-08-09,English,MCQ,Understand,2.14
QS10260,QZ1034,QF1009,2024-08-09,English,MCQ,Understand,2.77
QS10261,QZ1034,QF1009,2024-08-09,English,MCQ,Create,4.22
QS10262,QZ1034,QF1009,2024-08-09,English,MCQ,Understand,2.45
QS10263,QZ1034,QF1009,2024-08-09,English,MCQ,Understand,2.2
QS10264,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Analyze,3.02
QS10265,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Evaluate,4.72
QS10266,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Remember,2.1
QS10267,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Understand,3.76
QS10268,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Understand,4.05
QS10269,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Understand,2.38
QS10270,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Remember,1.23
QS10271,QZ1035,QF1009,2024-06-17,Chemistry,MCQ,Analyze,5.0
QS10272,QZ1036,QF1009,2024-07-08,Biology,MCQ,Remember,3.58
QS10273,QZ1036,QF1009,2024-07-08,Biology,MCQ,Remember,1.0
QS10274,QZ1036,QF1009,2024-07-08,Biology,MCQ,Evaluate,4.8
QS10275,QZ1036,QF1009,2024-07-08,Biology,MCQ,Analyze,4.99
QS10276,QZ1036,QF1009,2024-07-08,Biology,MCQ,Remember,3.82
QS10277,QZ1036,QF1009,2024-07-08,Biology,MCQ,Analyze,3.48
QS10278,QZ1036,QF1009,2024-07-08,Biology,MCQ,Analyze,3.96
QS10279,QZ1037,QF1009,2024-08-17,History,MCQ,Analyze,3.33
QS10280,QZ1037,QF1009,2024-08-17,History,MCQ,Understand,3.28
QS10281,QZ1037,QF1009,2024-08-17,History,Open,Understand,2.71
QS10282,QZ1037,QF1009,2024-08-17,History,MCQ,Understand,2.13
QS10283,QZ1037,QF1009,2024-08-17,History,MCQ,Understand,2.86
QS10284,QZ1037,QF1009,2024-08-17,History,MCQ,Analyze,4.77
QS10285,QZ1037,QF1009,2024-08-17,History,MCQ,Analyze,4.79
QS10286,QZ1037,QF1009,2024-08-17,History,Open,Understand,3.06
QS10287,QZ1038,QF1009,2024-07-15,Physics,MCQ,Understand,3.31
QS10288,QZ1038,QF1009,2024-07-15,Physics,MCQ,Remember,1.59
QS10289,QZ1038,QF1009,2024-07-15,Physics,MCQ,Understand,2.16
QS10290,QZ1038,QF1009,2024-07-15,Physics,MCQ,Remember,2.23
QS10291,QZ1038,QF1009,2024-07-15,Physics,MCQ,Understand,1.0
QS10292,QZ1038,QF1009,2024-07-15,Physics,MCQ,Understand,2.44
QS10293,QZ1038,QF1009,2024-07-15,Physics,MCQ,Understand,2.75
QS10294,QZ1039,QF1010,2024-08-27,Physics,MCQ,Remember,3.52
QS10295,QZ1039,QF1010,2024-08-27,Physics,MCQ,Evaluate,4.01
QS10296,QZ1039,QF1010,2024-08-27,Physics,MCQ,Remember,2.66
QS10297,QZ1039,QF1010,2024-08-27,Physics,MCQ,Remember,1.0
QS10298,QZ1040,QF1011,2024-07-23,Computer Science,MCQ,Apply,2.31
QS10299,QZ1040,QF1011,2024-07-23,Computer Science,MCQ,Understand,4.02
QS10300,QZ1040,QF1011,2024-07-23,Computer Science,Open,Understand,2.69
QS10301,QZ1040,QF1011,2024-07-23,Computer Science,MCQ,Understand,3.01
QS10302,QZ1041,QF1011,2024-08-07,Physics,Open,Evaluate,4.23
QS10303,QZ1041,QF1011,2024-08-07,Physics,Open,Remember,1.0
QS10304,QZ1041,QF1011,2024-08-07,Physics,Open,Remember,1.0
QS10305,QZ1041,QF1011,2024-08-07,Physics,MCQ,Understand,2.16
QS10306,QZ1041,QF1011,2024-08-07,Physics,Open,Analyze,5.0
QS10307,QZ1041,QF1011,2024-08-07,Physics,MCQ,Evaluate,4.53
QS10308,QZ1041,QF1011,2024-08-07,Physics,MCQ,Understand,2.31
QS10309,QZ1041,QF1011,2024-08-07,Physics,MCQ,Understand,2.73
QS10310,QZ1042,QF1011,2024-06-08,History,MCQ,Apply,3.12
QS10311,QZ1042,QF1011,2024-06-08,History,MCQ,Apply,2.21
QS10312,QZ1042,QF1011,2024-06-08,History,MCQ,Apply,3.74
QS10313,QZ1042,QF1011,2024-06-08,History,MCQ,Remember,1.35
QS10314,QZ1042,QF1011,2024-06-08,History,MCQ,Understand,2.86
QS10315,QZ1042,QF1011,2024-06-08,History,MCQ,Remember,3.16
QS10316,QZ1042,QF1011,2024-06-08,History,MCQ,Apply,4.3
QS10317,QZ1042,QF1011,2024-06-08,History,MCQ,Analyze,4.05
QS10318,QZ1042,QF1011,2024-06-08,History,MCQ,Apply,2.31
QS10319,QZ1042,QF1011,2024-06-08,History,MCQ,Remember,1.97
QS10320,QZ1042,QF1011,2024-06-08,History,MCQ,Understand,2.88
QS10321,QZ1043,QF1011,2024-03-10,History,MCQ,Remember,2.68
QS10322,QZ1043,QF1011,2024-03-10,History,MCQ,Understand,4.3
QS10323,QZ1043,QF1011,2024-03-10,History,MCQ,Understand,2.57
QS10324,QZ1043,QF1011,2024-03-10,History,MCQ,Remember,2.04
QS10325,QZ1043,QF1011,2024-03-10,History,MCQ,Evaluate,5.0
QS10326,QZ1043,QF1011,2024-03-10,History,MCQ,Apply,3.35
QS10327,QZ1044,QF1011,2024-08-22,General Knowledge,MCQ,Understand,3.65
QS10328,QZ1044,QF1011,2024-08-22,General Knowledge,MCQ,Apply,3.26
QS10329,QZ1044,QF1011,2024-08-22,General Knowledge,MCQ,Remember,1.0
QS10330,QZ1044,QF1011,2024-08-22,General Knowledge,MCQ,Remember,2.99
QS10331,QZ1044,QF1011,2024-08-22,General Knowledge,MCQ,Remember,1.68
QS10332,QZ1044,QF1011,2024-08-22,General Knowledge,MCQ,Apply,4.05
QS10333,QZ1045,QF1012,2024-04-19,English,MCQ,Evaluate,3.74
QS10334,QZ1045,QF1012,2024-04-19,English,MCQ,Evaluate,3.82
QS10335,QZ1045,QF1012,2024-04-19,English,Open,Apply,3.83
QS10336,QZ1045,QF1012,2024-04-19,English,MCQ,Understand,1.97
QS10337,QZ1045,QF1012,2024-04-19,English,Open,Remember,2.03
QS10338,QZ1045,QF1012,2024-04-19,English,Open,Understand,2.69
QS10339,QZ1045,QF1012,2024-04-19,English,MCQ,Analyze,3.01
QS10340,QZ1045,QF1012,2024-04-19,English,MCQ,Apply,2.97
QS10341,QZ1045,QF1012,2024-04-19,English,MCQ,Remember,1.0
QS10342,QZ1045,QF1012,2024-04-19,English,Open,Apply,3.24
QS10343,QZ1046,QF1012,2024-04-29,Mathematics,MCQ,Understand,1.47
