quiz_id,creator_id,creation_date,topic,quiz_type,num_questions,avg_difficulty,dominant_bloom_level,popularity_score
QZ1035,QF1009,17-06-2024,Chemistry,MCQ,8,3.28,Understand,6.29
QZ1036,QF1009,08-07-2024,Biology,MCQ,7,3.66,Remember,1.94
QZ1037,QF1009,17-08-2024,History,Mixed,8,3.36,Understand,12.93
QZ1038,QF1009,15-07-2024,Physics,MCQ,7,2.21,Understand,8.99
QZ1039,QF1010,27-08-2024,Physics,MCQ,4,2.8,Remember,0.98
QZ1040,QF1011,23-07-2024,Computer Science,Mixed,4,3,Understand,1.71
QZ1041,QF1011,07-08-2024,Physics,Open,8,2.87,Understand,2.51
QZ1042,QF1011,08-06-2024,History,MCQ,11,2.91,Apply,15
QZ1043,QF1011,10-03-2024,History,MCQ,6,3.32,Understand,1.78
QZ1044,QF1011,22-08-2024,General Knowledge,MCQ,6,2.77,Remember,4.48
QZ1045,QF1012,19-04-2024,English,Mixed,10,2.83,Apply,1.2
QZ1046,QF1012,29-04-2024,Mathematics,Mixed,9,3.25,Understand,1.85
QZ1047,QF1012,13-04-2024,Business Studies,Mixed,8,2.87,Understand,2.63
QZ1048,QF1012,10-05-2024,Language,Mixed,4,2.69,Understand,1.77
QZ1049,QF1012,11-07-2024,Physics,MCQ,10,2.32,Remember,2.61
QZ1050,QF1012,14-07-2024,Computer Science,Mixed,4,2.57,Remember,2.88
QZ1051,QF1012,30-08-2024,Physics,Mixed,7,3,Understand,0.52
QZ1052,QF1012,21-04-2024,Language,Mixed,5,2.43,Remember,0.39
QZ1053,QF1012,22-04-2024,English,MCQ,8,2.77,Remember,3.49
QZ1054,QF1012,28-05-2024,Programming,MCQ,7,2.88,Remember,0.48
QZ1055,QF1012,24-07-2024,General Knowledge,MCQ,4,2.37,Remember,3
QZ1056,QF1012,04-07-2024,History,MCQ,11,3.39,Understand,7.3
QZ1057,QF1012,13-08-2024,General Knowledge,MCQ,7,2.68,Understand,1.61
QZ1058,QF1012,20-03-2024,Biology,Mixed,13,3.08,Understand,0.22
QZ1059,QF1012,23-08-2024,Physics,Mixed,9,2.42,Understand,4
QZ1060,QF1012,04-08-2024,Mathematics,MCQ,3,3.04,Understand,1.12
QZ1061,QF1012,07-07-2024,Programming,MCQ,9,2.88,Evaluate,2.25
QZ1062,QF1012,27-08-2024,Biology,MCQ,10,2.56,Understand,1.35
QZ1063,QF1014,17-06-2024,English,Mixed,11,3.19,Understand,0.66
QZ1064,QF1014,26-03-2024,Physics,MCQ,8,3.24,Apply,1.02
QZ1065,QF1015,16-08-2024,Biology,MCQ,7,2.69,Remember,0.82
QZ1066,QF1016,24-06-2024,Physics,MCQ,7,2.46,Understand,0.87
QZ1067,QF1016,19-08-2024,Computer Science,MCQ,10,2.8,Understand,2.17
QZ1068,QF1016,11-06-2024,English,MCQ,12,2.84,Understand,4.02
QZ1069,QF1017,05-04-2024,Business Studies,MCQ,12,2.62,Understand,1.86
QZ1070,QF1017,16-04-2024,Programming,Mixed,5,3.1,Remember,1.35
QZ1071,QF1017,24-05-2024,History,MCQ,6,3.82,Apply,0.98
QZ1072,QF1017,17-05-2024,Chemistry,MCQ,8,3.06,Evaluate,2.88
QZ1073,QF1017,20-06-2024,History,MCQ,4,2.47,Remember,11.24
QZ1074,QF1017,19-07-2024,History,Mixed,4,2.79,Remember,0.67
QZ1075,QF1017,18-03-2024,Biology,Open,13,2.65,Apply,1.71
QZ1076,QF1017,04-07-2024,Programming,MCQ,5,3.14,Understand,4.41
QZ1077,QF1019,03-05-2024,English,MCQ,7,3.59,Apply,0.6
QZ1078,QF1019,22-08-2024,Programming,MCQ,7,2.74,Apply,1.52
QZ1079,QF1020,28-08-2024,Programming,MCQ,6,2.73,Understand,5.03
QZ1080,QF1020,16-05-2024,Physics,MCQ,13,2.81,Remember,7.56
QZ1081,QF1020,10-04-2024,General Knowledge,MCQ,14,3.02,Remember,3.06
QZ1082,QF1020,23-06-2024,Programming,Mixed,9,2.54,Understand,3.33
QZ1083,QF1020,13-06-2024,Chemistry,MCQ,13,2.97,Understand,0.31
QZ1084,QF1020,10-04-2024,Language,Mixed,9,2.49,Understand,6.1
QZ1085,QF1021,21-08-2024,Biology,MCQ,9,2.94,Understand,2.07
QZ1086,QF1021,23-04-2024,Chemistry,Mixed,10,2.71,Remember,0.49
QZ1087,QF1022,26-08-2024,Business Studies,MCQ,11,2.34,Remember,0.69
QZ1088,QF1022,07-07-2024,Computer Science,MCQ,9,2.94,Remember,2.06
QZ1089,QF1022,23-05-2024,English,MCQ,5,2.64,Remember,1.81
QZ1090,QF1022,25-06-2024,Programming,Open,5,3.17,Understand,0.61
QZ1091,QF1023,02-07-2024,Language,MCQ,5,3.73,Remember,2.87
QZ1092,QF1023,14-08-2024,Biology,MCQ,7,2.33,Understand,4.24
QZ1093,QF1023,05-06-2024,Programming,MCQ,11,2.95,Apply,5.36
QZ1094,QF1023,09-04-2024,History,MCQ,8,3.26,Analyze,0.8
QZ1095,QF1029,19-06-2024,Mathematics,MCQ,12,2.69,Remember,2.13
QZ1096,QF1029,29-08-2024,Biology,MCQ,3,3.22,Apply,1
QZ1097,QF1029,23-06-2024,Mathematics,MCQ,10,2.96,Apply,6.86
QZ1098,QF1029,18-08-2024,History,MCQ,7,2.85,Understand,0.48
QZ1099,QF1029,04-08-2024,Computer Science,MCQ,11,2.79,Remember,0.95
QZ1100,QF1029,04-08-2024,English,Open,11,2.43,Remember,1.48
QZ1101,QF1029,08-08-2024,Physics,MCQ,6,3.86,Evaluate,0.13
QZ1102,QF1029,07-07-2024,Biology,MCQ,5,3.02,Remember,0.66
QZ1103,QF1029,09-06-2024,General Knowledge,MCQ,2,4.31,Evaluate,0.92
QZ1104,QF1029,18-08-2024,History,Mixed,6,2.79,Remember,2.66
QZ1105,QF1029,25-08-2024,Biology,MCQ,6,3.4,Understand,1
QZ1106,QF1029,22-07-2024,Programming,MCQ,10,2.77,Understand,3.35
QZ1107,QF1029,30-05-2024,Business Studies,Mixed,5,3.17,Apply,4.78
QZ1108,QF1029,07-07-2024,Computer Science,Mixed,13,2.61,Remember,3.24
QZ1109,QF1029,22-05-2024,Programming,MCQ,9,2.9,Apply,1.31
QZ1110,QF1031,22-05-2024,Business Studies,Mixed,4,3.2,Understand,8.69
QZ1111,QF1031,24-08-2024,Chemistry,Mixed,11,2.71,Remember,2.51
QZ1112,QF1031,15-08-2024,English,MCQ,7,2.31,Understand,5.28
QZ1113,QF1031,11-05-2024,Chemistry,Mixed,8,2.85,Apply,3.69
QZ1114,QF1031,08-07-2024,Biology,Mixed,5,2.8,Understand,1.55
QZ1115,QF1031,24-06-2024,Language,MCQ,8,3.14,Understand,4.57
QZ1116,QF1031,08-06-2024,Language,MCQ,1,1.47,Remember,0.93
QZ1117,QF1031,21-05-2024,English,MCQ,11,2.75,Understand,2.4
QZ1118,QF1031,24-08-2024,General Knowledge,MCQ,10,2.36,Apply,0.24
QZ1119,QF1031,09-04-2024,Computer Science,Mixed,6,3.17,Remember,2.59
QZ1120,QF1031,26-07-2024,General Knowledge,MCQ,7,3.4,Evaluate,1.43
QZ1121,QF1031,24-08-2024,Computer Science,Mixed,11,3.04,Understand,3
QZ1122,QF1031,05-08-2024,History,Mixed,7,3.49,Understand,2.08
QZ1123,QF1032,05-07-2024,Biology,MCQ,10,3.13,Understand,1.06
QZ1124,QF1032,23-03-2024,Chemistry,MCQ,7,2.25,Understand,0.28
QZ1125,QF1032,19-08-2024,Language,MCQ,8,2.87,Remember,1.16
QZ1126,QF1033,30-03-2024,Business Studies,MCQ,12,3.05,Understand,0.88
QZ1127,QF1033,12-07-2024,Physics,MCQ,8,2.78,Understand,4.72
QZ1128,QF1033,30-04-2024,Mathematics,MCQ,8,2.41,Understand,3.12
QZ1129,QF1033,22-05-2024,Physics,MCQ,7,2.82,Understand,1.93
QZ1130,QF1033,08-06-2024,Chemistry,MCQ,9,2.39,Apply,4.03
QZ1131,QF1033,05-07-2024,Programming,Mixed,10,2.29,Remember,4.89
QZ1132,QF1033,26-08-2024,Chemistry,MCQ,10,2.78,Understand,10.7
QZ1133,QF1033,04-05-2024,Programming,Mixed,5,2.7,Understand,1.24
QZ1134,QF1033,02-08-2024,Computer Science,Mixed,13,2.9,Apply,6.37
QZ1135,QF1033,03-08-2024,General Knowledge,Mixed,6,3.32,Analyze,1.48
QZ1136,QF1033,07-07-2024,Physics,Mixed,6,3.6,Evaluate,1.02
QZ1137,QF1036,29-04-2024,Computer Science,Mixed,8,2.35,Understand,3.03
QZ1138,QF1037,23-06-2024,Computer Science,MCQ,6,2.14,Apply,0.67
QZ1139,QF1037,30-07-2024,General Knowledge,Mixed,3,1.85,Remember,2.29
QZ1140,QF1039,16-08-2024,Business Studies,Mixed,5,3.37,Evaluate,4.01
QZ1141,QF1040,28-07-2024,Language,Mixed,6,2.73,Remember,1.24
QZ1142,QF1040,14-06-2024,English,MCQ,11,2.74,Remember,1.04
QZ1143,QF1040,06-08-2024,Language,MCQ,7,2.97,Remember,2.34
QZ1144,QF1040,13-08-2024,Mathematics,MCQ,6,3.6,Remember,5.51
QZ1145,QF1040,10-05-2024,Programming,Open,10,3.14,Analyze,1.21
QZ1146,QF1042,10-08-2024,Physics,MCQ,6,3.07,Create,3.07
QZ1147,QF1043,28-06-2024,Programming,MCQ,6,3.47,Understand,0.1
QZ1148,QF1043,12-05-2024,Language,MCQ,12,3.09,Understand,1.53
QZ1149,QF1043,25-05-2024,English,MCQ,9,2.91,Understand,0.29
QZ1150,QF1044,09-06-2024,Programming,MCQ,9,2.58,Understand,0.14
QZ1151,QF1044,11-06-2024,History,Open,4,2.45,Remember,1.69
QZ1152,QF1044,22-04-2024,Physics,MCQ,10,2.88,Remember,2.98
QZ1153,QF1044,28-07-2024,English,MCQ,7,2.9,Apply,1.88
QZ1154,QF1048,05-06-2024,Computer Science,MCQ,6,3.09,Understand,1.59
QZ1155,QF1048,18-07-2024,Chemistry,Mixed,14,2.66,Remember,0.66
QZ1156,QF1049,08-08-2024,Business Studies,Mixed,10,2.8,Remember,1.55
QZ1157,QF1050,27-07-2024,Mathematics,MCQ,8,3.05,Remember,0.39
QZ1158,QF1051,18-08-2024,English,Mixed,4,3.08,Remember,0.26
QZ1159,QF1051,20-06-2024,Language,MCQ,4,3.03,Apply,4.43
QZ1160,QF1051,27-08-2024,Chemistry,Mixed,7,3.68,Understand,1.67
QZ1161,QF1051,17-04-2024,Language,Mixed,6,3.01,Understand,0.44
QZ1162,QF1051,09-04-2024,Physics,MCQ,10,3.51,Understand,1.3
QZ1163,QF1052,17-05-2024,Programming,Mixed,3,2.55,Remember,2.22
QZ1164,QF1052,15-05-2024,English,MCQ,10,2.24,Understand,5.67
QZ1165,QF1052,05-05-2024,Programming,MCQ,6,2.72,Remember,0.84
QZ1166,QF1053,21-06-2024,Language,Open,6,2.62,Understand,0.58
QZ1167,QF1053,17-08-2024,General Knowledge,Mixed,6,2.71,Understand,2.44
QZ1168,QF1054,16-08-2024,Biology,MCQ,5,2.39,Remember,4.2
QZ1169,QF1057,07-08-2024,Chemistry,MCQ,8,2.82,Understand,0.85
QZ1170,QF1058,09-06-2024,History,Open,7,3,Remember,3.16
QZ1171,QF1058,24-06-2024,Chemistry,MCQ,6,3.75,Apply,1.91
QZ1172,QF1058,26-07-2024,Language,MCQ,5,3.27,Understand,1.38
QZ1173,QF1058,30-08-2024,Language,MCQ,3,3.66,Evaluate,8.55
QZ1174,QF1058,22-07-2024,Mathematics,Open,11,2.67,Understand,0.33
QZ1175,QF1058,16-08-2024,General Knowledge,MCQ,7,2.63,Remember,13.07
QZ1176,QF1058,29-07-2024,History,MCQ,9,3.23,Understand,1.78
QZ1177,QF1058,18-08-2024,Business Studies,MCQ,9,3.03,Understand,2.03
QZ1178,QF1059,17-08-2024,Mathematics,MCQ,9,2.67,Understand,12.51
QZ1179,QF1059,02-07-2024,Physics,Mixed,10,3.49,Create,1.96
QZ1180,QF1059,19-06-2024,History,MCQ,10,2.98,Remember,1.66
QZ1181,QF1059,20-05-2024,English,Mixed,4,3.81,Understand,5.11
QZ1182,QF1059,04-07-2024,Biology,Open,6,3.17,Remember,5.17
QZ1183,QF1059,02-04-2024,Mathematics,MCQ,11,2.52,Remember,3.32
QZ1184,QF1059,01-08-2024,Biology,MCQ,3,3.06,Understand,8.86
QZ1185,QF1059,19-06-2024,General Knowledge,MCQ,13,2.67,Remember,9.19
QZ1186,QF1059,16-06-2024,Physics,MCQ,14,2.98,Understand,4.76
QZ1187,QF1059,08-07-2024,Physics,Mixed,9,2.31,Remember,5.2
QZ1188,QF1059,14-08-2024,Business Studies,Mixed,7,2.34,Remember,7.78
QZ1189,QF1059,03-08-2024,Physics,MCQ,15,2.66,Remember,0.9
QZ1190,QF1062,01-08-2024,Language,MCQ,8,3.11,Understand,1.26
QZ1191,QF1062,07-04-2024,Chemistry,MCQ,12,2.65,Understand,0.82
QZ1192,QF1063,04-07-2024,Chemistry,MCQ,4,3.17,Remember,2.27
QZ1193,QF1064,26-04-2024,Programming,Mixed,9,2.4,Understand,0.86
QZ1194,QF1064,07-07-2024,Business Studies,MCQ,7,2.74,Understand,0.1
QZ1195,QF1064,05-06-2024,Language,Mixed,11,2.73,Remember,0.83
QZ1196,QF1064,05-08-2024,Chemistry,MCQ,7,2.84,Remember,0.5
QZ1197,QF1064,31-08-2024,English,MCQ,12,2.61,Remember,3.08
QZ1198,QF1065,02-05-2024,Language,Open,14,3.62,Understand,3.77
QZ1199,QF1065,30-07-2024,General Knowledge,MCQ,7,3.2,Remember,0.35
QZ1200,QF1065,12-08-2024,Computer Science,Mixed,6,2.74,Understand,1.73
QZ1201,QF1065,09-07-2024,Biology,MCQ,7,2.87,Understand,0.33
QZ1202,QF1065,09-05-2024,Language,MCQ,11,2.82,Analyze,1.05
QZ1203,QF1066,26-08-2024,Biology,MCQ,7,2.84,Remember,0.48
QZ1204,QF1067,25-07-2024,English,Open,7,3.18,Understand,0.1
QZ1205,QF1067,25-07-2024,Computer Science,Open,11,3.02,Remember,0.26
QZ1206,QF1068,20-07-2024,Programming,MCQ,5,3.45,Understand,1.81
QZ1207,QF1068,12-07-2024,Programming,MCQ,12,2.81,Understand,6.49
QZ1208,QF1068,16-06-2024,History,Open,7,2.51,Remember,1.52
QZ1209,QF1068,11-07-2024,Business Studies,MCQ,8,2.68,Understand,2.45
QZ1210,QF1068,17-07-2024,Language,MCQ,9,2.49,Understand,1.4
QZ1211,QF1070,03-07-2024,Business Studies,Mixed,8,2.06,Remember,0.75
QZ1212,QF1070,01-08-2024,Physics,MCQ,6,3.35,Evaluate,0.57
QZ1213,QF1073,18-06-2024,Biology,MCQ,6,3.53,Understand,0.16
QZ1214,QF1074,10-08-2024,Biology,Mixed,12,3,Analyze,1.9
QZ1215,QF1074,31-07-2024,Physics,Mixed,16,2.68,Understand,9.07
QZ1216,QF1074,22-07-2024,History,MCQ,11,3.41,Understand,0.5
QZ1217,QF1075,29-08-2024,Mathematics,MCQ,6,3.49,Understand,0.36
QZ1218,QF1075,09-06-2024,General Knowledge,MCQ,11,2.88,Understand,3.16
QZ1219,QF1075,26-07-2024,Language,Mixed,9,3.21,Evaluate,2.75
QZ1220,QF1075,08-04-2024,Biology,Mixed,9,3.66,Remember,0.53
QZ1221,QF1075,21-08-2024,General Knowledge,Open,10,2.67,Remember,0.12
QZ1222,QF1075,19-07-2024,Biology,MCQ,4,3.64,Understand,4.01
QZ1223,QF1075,25-04-2024,Mathematics,MCQ,6,2.2,Understand,4.01
QZ1224,QF1075,07-08-2024,Physics,MCQ,10,3.15,Understand,3.09
QZ1225,QF1075,18-04-2024,Programming,MCQ,11,2.73,Remember,6.48
QZ1226,QF1075,09-05-2024,Mathematics,MCQ,9,2.73,Remember,4.84
QZ1227,QF1075,25-06-2024,Biology,MCQ,9,3.14,Remember,0.1
QZ1228,QF1075,14-06-2024,Physics,Mixed,7,3.45,Apply,5.77
QZ1229,QF1075,29-05-2024,Mathematics,MCQ,8,3.58,Understand,5.52
QZ1230,QF1075,20-07-2024,History,MCQ,10,2.87,Remember,4.99
QZ1231,QF1075,06-06-2024,Physics,MCQ,9,3.49,Understand,1.94
QZ1232,QF1076,26-07-2024,Language,Open,8,3.06,Analyze,1.07
QZ1233,QF1076,24-06-2024,Biology,Mixed,10,3.21,Remember,0.54
QZ1234,QF1077,24-05-2024,English,MCQ,8,2.87,Analyze,2.92
QZ1235,QF1078,23-07-2024,Programming,MCQ,9,2.87,Understand,3.02
QZ1236,QF1078,20-05-2024,Business Studies,Mixed,4,2.98,Remember,0.1
QZ1237,QF1078,09-06-2024,Biology,MCQ,3,1.81,Remember,2.05
QZ1238,QF1079,27-08-2024,Language,MCQ,9,2.58,Understand,0.24
QZ1239,QF1079,16-06-2024,Chemistry,Mixed,5,3.21,Remember,4.4
QZ1240,QF1079,24-08-2024,General Knowledge,Mixed,9,3.14,Understand,0.17
QZ1241,QF1079,03-05-2024,General Knowledge,MCQ,5,3.18,Remember,1
QZ1242,QF1079,30-08-2024,Business Studies,MCQ,13,2.73,Remember,3.13
QZ1243,QF1080,21-06-2024,Biology,MCQ,9,3.08,Remember,2.87
QZ1244,QF1080,23-07-2024,Business Studies,MCQ,5,3.68,Remember,0.78
QZ1245,QF1081,19-07-2024,Computer Science,Mixed,11,3.35,Evaluate,4.9
QZ1246,QF1081,29-07-2024,Biology,MCQ,9,2.72,Remember,4.42
QZ1247,QF1082,25-08-2024,Physics,Mixed,13,2.92,Understand,2.29
QZ1248,QF1082,13-06-2024,Physics,MCQ,6,2.91,Understand,1.96
QZ1249,QF1082,09-06-2024,Programming,MCQ,8,2.69,Apply,2.33
QZ1250,QF1082,18-04-2024,Computer Science,MCQ,12,3.26,Apply,4.15
QZ1251,QF1082,04-07-2024,History,MCQ,8,2.5,Understand,3.52
QZ1252,QF1082,25-08-2024,Computer Science,MCQ,8,3.51,Remember,0.99
QZ1253,QF1083,24-07-2024,Computer Science,Open,12,3.01,Remember,0.5
QZ1254,QF1084,30-08-2024,Business Studies,MCQ,2,2.78,Understand,0.29
QZ1255,QF1084,25-06-2024,Mathematics,MCQ,7,3.51,Remember,8.02
QZ1256,QF1084,31-05-2024,Programming,Mixed,8,2.89,Remember,0.97
QZ1257,QF1084,25-04-2024,Programming,Mixed,7,3.21,Apply,1.94
QZ1258,QF1084,13-05-2024,Programming,MCQ,14,3.11,Remember,4.67
QZ1259,QF1084,01-06-2024,Physics,Mixed,8,2.61,Remember,2.49
QZ1260,QF1084,16-05-2024,Mathematics,MCQ,2,1.85,Remember,3.7
QZ1261,QF1085,27-04-2024,Computer Science,MCQ,10,3.11,Understand,1.85
QZ1262,QF1085,19-07-2024,History,MCQ,8,2.43,Remember,1.05
QZ1263,QF1085,06-07-2024,Physics,MCQ,6,3.59,Understand,3.56
QZ1264,QF1085,15-07-2024,Biology,MCQ,7,3.12,Understand,1.12
QZ1265,QF1086,07-06-2024,Biology,Mixed,3,2.21,Understand,3.08
QZ1266,QF1086,19-07-2024,Biology,MCQ,11,2.87,Remember,3.68
QZ1267,QF1086,12-06-2024,Language,MCQ,7,2.53,Remember,3.51
QZ1268,QF1086,17-06-2024,Business Studies,MCQ,7,2.79,Understand,2.96
QZ1269,QF1086,19-08-2024,Chemistry,Mixed,8,3.13,Remember,1.27
QZ1270,QF1086,22-07-2024,Computer Science,Mixed,2,2.91,Understand,1.62
QZ1271,QF1087,08-06-2024,Chemistry,MCQ,9,2.44,Remember,0.13
QZ1272,QF1088,11-08-2024,English,Mixed,6,2.54,Understand,0.19
QZ1273,QF1088,19-07-2024,Business Studies,MCQ,2,3.23,Remember,0.59
QZ1274,QF1089,28-07-2024,Biology,Mixed,5,2.7,Apply,2.97
QZ1275,QF1089,30-05-2024,Physics,Open,9,2.71,Understand,1.03
QZ1276,QF1089,21-07-2024,Business Studies,Mixed,7,3.13,Understand,7.8
QZ1277,QF1089,31-08-2024,Language,MCQ,7,3.01,Understand,4.04
QZ1278,QF1089,02-05-2024,Physics,MCQ,5,3.1,Analyze,3.42
QZ1279,QF1089,27-06-2024,Mathematics,MCQ,10,3.21,Remember,3.42
QZ1280,QF1089,09-06-2024,Programming,MCQ,9,2.67,Understand,3.11
QZ1281,QF1089,22-07-2024,Language,Mixed,10,3.04,Analyze,4.09
QZ1282,QF1089,20-07-2024,Mathematics,MCQ,3,2.28,Remember,0.54
QZ1283,QF1089,21-05-2024,Physics,Mixed,4,2.47,Understand,1.37
QZ1284,QF1089,28-04-2024,Biology,MCQ,9,3.28,Understand,0.84
QZ1285,QF1089,14-07-2024,Chemistry,MCQ,7,3.55,Remember,2.16
QZ1286,QF1090,09-07-2024,Computer Science,Mixed,11,2.83,Remember,2.39
QZ1287,QF1090,14-08-2024,Business Studies,MCQ,4,3.34,Evaluate,1.28
QZ1288,QF1090,23-08-2024,Business Studies,MCQ,7,3.22,Apply,3.25
QZ1289,QF1090,26-06-2024,Biology,Mixed,6,2.59,Remember,0.36
QZ1290,QF1090,30-08-2024,Computer Science,MCQ,7,2.98,Apply,1.73
QZ1291,QF1092,14-08-2024,Mathematics,Open,7,2.82,Remember,0.54
QZ1292,QF1092,29-06-2024,Chemistry,MCQ,7,2.51,Apply,1.98
QZ1293,QF1092,08-08-2024,Computer Science,MCQ,1,2.46,Understand,0.96
QZ1294,QF1092,11-05-2024,Mathematics,MCQ,5,3.02,Understand,4.09
QZ1295,QF1093,01-05-2024,Computer Science,MCQ,10,3.22,Understand,0.1
QZ1296,QF1094,19-06-2024,English,MCQ,9,2.5,Understand,0.4
QZ1297,QF1094,03-08-2024,Business Studies,MCQ,7,3.13,Apply,0.86
QZ1298,QF1096,06-05-2024,English,MCQ,2,3.82,Create,1.61
QZ1299,QF1096,25-05-2024,Computer Science,MCQ,12,2.69,Understand,5.86
QZ1300,QF1096,30-06-2024,Language,MCQ,7,2.05,Understand,1.3
QZ1301,QF1096,23-07-2024,Programming,MCQ,10,2.31,Remember,3
QZ1302,QF1096,16-08-2024,Business Studies,MCQ,5,4.39,Evaluate,0.96
QZ1303,QF1096,14-06-2024,Chemistry,MCQ,13,2.88,Remember,2.1
QZ1304,QF1096,31-07-2024,Biology,MCQ,4,2.99,Remember,1.38
QZ1305,QF1096,21-06-2024,English,Mixed,6,2.63,Understand,1.42
QZ1306,QF1096,18-08-2024,Biology,Mixed,7,2.71,Remember,0.9
QZ1307,QF1096,25-04-2024,Mathematics,MCQ,9,3.24,Evaluate,5.57
QZ1308,QF1096,15-07-2024,General Knowledge,MCQ,6,2.63,Remember,1.53
QZ1309,QF1096,06-07-2024,Language,MCQ,8,3.61,Apply,4.5
QZ1310,QF1096,11-07-2024,Mathematics,Open,2,3.09,Understand,3.96
QZ1311,QF1096,04-07-2024,History,Mixed,6,3.18,Remember,0.96
QZ1312,QF1096,08-08-2024,Mathematics,MCQ,7,2.44,Remember,5.58
QZ1313,QF1099,27-05-2024,Mathematics,Mixed,10,2.81,Remember,6.81
QZ1314,QF1099,13-08-2024,General Knowledge,Mixed,8,3.2,Remember,1.6
QZ1315,QF1099,19-05-2024,Business Studies,MCQ,6,2.64,Remember,8.97
QZ1316,QF1099,10-07-2024,Language,MCQ,6,2.55,Remember,1.45
QZ1317,QF1099,29-07-2024,Language,Mixed,8,3.18,Apply,4.43
QZ1318,QF1099,16-08-2024,Chemistry,MCQ,6,3.21,Remember,1.32
QZ1319,QF1099,21-05-2024,Mathematics,MCQ,7,2.71,Remember,2.35
QZ1320,QF1099,07-08-2024,Language,Mixed,10,2.83,Remember,7.63
QZ1321,QF1099,02-05-2024,Physics,Open,12,3.11,Apply,0.53
QZ1322,QF1099,17-08-2024,Chemistry,MCQ,14,3.29,Understand,0.18
QZ1323,QF1099,06-05-2024,Physics,Mixed,6,3.41,Apply,1.55
QZ1324,QF1099,26-04-2024,General Knowledge,Open,9,2.87,Remember,0.12
QZ1325,QF1099,03-05-2024,Physics,MCQ,9,3.44,Evaluate,0.98
QZ1326,QF1099,02-08-2024,Programming,Mixed,5,3.6,Evaluate,1.37
QZ1327,QF1100,29-06-2024,Biology,Mixed,9,3.09,Remember,1.41
QZ1328,QF1101,27-05-2024,Computer Science,MCQ,6,2.75,Remember,1.12
QZ1329,QF1101,20-08-2024,Physics,MCQ,7,2.47,Understand,0.39
QZ1330,QF1101,11-05-2024,General Knowledge,MCQ,12,3.39,Analyze,15
QZ1331,QF1101,25-08-2024,Biology,MCQ,4,3.17,Apply,3.95
QZ1332,QF1101,23-07-2024,General Knowledge,Open,11,3.4,Understand,4.49
QZ1333,QF1101,27-05-2024,General Knowledge,Mixed,9,2.97,Understand,4.43
QZ1334,QF1101,26-08-2024,Mathematics,Mixed,7,3.28,Analyze,6.05
